,auto_acc,credit_card_acc,first_mortgage_acc,he_revolving_acc
200509,962718,8477663,855035,247573
200512,953186,8487305,859150,266350
200603,947923,8480470,856630,267787
200606,962611,8490433,869054,271468
200609,980649,8529578,873536,273364
200612,985761,8578303,875774,272868
200703,997143,8623737,890875,275122
200706,1007984,8744691,893506,275718
200709,1021618,8722506,901783,275321
200712,1014674,8805512,907544,276079
200803,1011509,9020527,897401,274611
200806,1015777,9298193,908112,274619
200809,1012579,9241914,898174,271631
200812,989562,9249192,887845,269287
200903,973924,10041978,887135,261553
200906,974106,9791087,894033,257952
200909,978762,9527527,887557,253300
200912,964922,9267068,874532,249947
201003,949470,8900595,863445,245973
201006,955822,8765358,861482,245385
201009,956805,8503129,852402,241207
201012,961010,8558673,856395,237501
201103,948990,8463850,848326,234552
201106,948291,8472067,837911,236694
201109,935988,8467853,832779,230292
201112,927814,8552054,839054,226801
201203,919918,8380857,831133,223748
201206,929901,8419676,830476,206881
201209,935955,8477618,826513,203215
201212,935775,8542652,827228,203890
201303,933588,8598023,821165,200135
201306,945367,8650821,825853,197819
201309,964504,8461380,815461,195346
201312,964098,8710196,809414,193028
201403,961418,8740186,811782,190076
201406,980479,8645380,805562,189561
201409,993921,8687918,797240,188853
201412,1003214,8616171,804519,187425
201503,994958,8691920,794921,184657
201506,1028724,8835106,799281,185071
201509,1049737,8700435,803368,182384
201512,1054161,8595807,802708,181546
201603,1058931,8665717,796336,178892
201606,1078875,8510105,798604,178891
201609,1098041,8640483,798215,178279
201612,1102797,8745039,807594,176123
201703,1106099,8781517,796924,172973
201706,1122993,8816615,794030,171971
201709,1135310,8582544,796639,170493
201712,1134510,8278332,793914,169060
201803,1129850,8225406,792208,167002
201806,1143326,8465547,791619,166279
201809,1153065,8249930,795060,164978
201812,1152806,8235137,792770,163939
201903,1152260,8202942,791003,160680
201906,1168805,8204166,813879,161391
201909,1177018,8154508,807160,160331
201912,1185184,8405463,812024,159701
202003,1184189,8369774,811381,156267
202006,1176097,7714047,819788,154391
202009,1187317,7701388,832581,151938
202012,1181358,7521865,843195,148914
202103,1170065,7501672,837372,143686
202106,1182366,7498769,843343,141368
202109,1177845,7494453,834624,137533
