state,auto,credit_card,first_mortgage,he_revolving,other,student_loan
AZ,6942.344884696016,3754.0596331236898,51820.043626834384,1077.6634486373166,1960.7370964360587,6855.38105870021
CA,5484.69647544057,4064.674235095613,75160.76793775777,1604.4718916385452,1720.6777915260593,5775.365453693288
FL,6823.9382841239885,4336.26868622245,42252.75629698346,1405.7895780685199,2504.7272608041967,6704.897738396085
IL,5502.02822070215,3858.318533917103,41695.75428826924,1041.2477382791178,1575.7228912864227,7620.717752331401
MI,4623.9953685412,3303.555599455639,34237.96488724995,1092.8019447736951,2471.2680026925386,7685.209425347908
NJ,4413.346875871255,4610.256443418729,54921.83831046126,2187.493014466714,2197.555729376413,8170.032410705988
NV,6973.245498369488,4196.4256108511745,54243.14698237157,1088.3833120657875,2029.3371614915638,6020.183042676875
NY,3924.310768276259,4317.963542060742,44038.751804548825,1992.5571175642751,2223.944089251396,7772.683821860388
OH,5735.312806901953,3389.640320234706,31523.40969157519,1589.0760806056612,2181.1466292064993,8200.501504208052
PA,5231.277925502325,3632.214164126299,34445.30695801161,2152.192841725818,1945.4602812576488,8489.557864756014
TX,8883.18934408263,4057.7039951670936,38425.305764203345,406.2294748491053,2507.5200453352295,6816.985014782064
