,mort_enter,mort_exit,net_mort
1.0,852049,34830,817219
2.0,38106,23550,14556
3.0,30253,25754,4499
4.0,29481,22977,6504
5.0,25890,23858,2032
6.0,26585,22845,3740
7.0,25386,21712,3674
8.0,20609,20534,75
9.0,20418,17979,2439
10.0,20276,19149,1127
11.0,22582,16852,5730
12.0,23828,20202,3626
13.0,23562,18756,4806
14.0,21092,24172,-3080
15.0,24141,21248,2893
16.0,22750,18045,4705
17.0,19978,18857,1121
18.0,18490,20096,-1606
19.0,25669,19137,6532
20.0,21881,20386,1495
21.0,24958,17148,7810
22.0,16847,21252,-4405
23.0,22328,18090,4238
24.0,21813,17062,4751
25.0,20877,18882,1995
26.0,18370,17122,1248
27.0,21902,18530,3372
28.0,27839,16304,11535
29.0,17890,17511,379
30.0,14107,20157,-6050
31.0,22552,25848,-3296
32.0,14759,14149,610
33.0,12574,15201,-2627
34.0,16224,13474,2750
35.0,15958,15580,378
36.0,23133,17172,5961
37.0,14829,21272,-6443
38.0,19214,19369,-155
39.0,13526,18472,-4946
40.0,13152,13862,-710
41.0,12853,13652,-799
42.0,11706,15358,-3652
43.0,13059,13849,-790
44.0,13206,12931,275
45.0,15159,13545,1614
46.0,18606,17713,893
47.0,19076,17645,1431
48.0,18338,44185,-25847
49.0,43375,40947,2428
50.0,39068,20864,18204
51.0,18367,29125,-10758
52.0,25627,19505,6122
53.0,13242,19870,-6628
54.0,17576,33064,-15488
55.0,27564,16781,10783
56.0,14143,16318,-2175
57.0,14326,16486,-2160
58.0,14931,14157,774
59.0,14575,13429,1146
60.0,12721,16178,-3457
61.0,15543,16006,-463
62.0,14066,19676,-5610
63.0,14988,14768,220
64.0,16507,15752,755
65.0,16691,17779,-1088
66.0,19681,19397,284
67.0,17795,18928,-1133
68.0,19239,21748,-2509
69.0,15487,18710,-3223
70.0,12033,16490,-4457
71.0,13934,14327,-393
72.0,12715,13180,-465
73.0,8489,13807,-5318
74.0,15048,12789,2259
75.0,11631,12457,-826
76.0,13623,13520,103
77.0,19051,17297,1754
78.0,17777,17106,671
79.0,12642,17424,-4782
80.0,16178,19610,-3432
81.0,16377,18252,-1875
82.0,16236,16232,4
83.0,16250,16581,-331
84.0,17798,17782,16
85.0,16226,19827,-3601
86.0,18709,17959,750
87.0,17886,17939,-53
88.0,19948,20009,-61
89.0,19157,19671,-514
90.0,18934,19916,-982
91.0,19300,21789,-2489
92.0,19229,19984,-755
93.0,17373,27514,-10141
94.0,27025,20470,6555
95.0,27661,23451,4210
96.0,21181,24975,-3794
97.0,22469,25734,-3265
98.0,20900,24196,-3296
99.0,20815,19886,929
100.0,19869,20846,-977
101.0,16687,19593,-2906
102.0,17071,18934,-1863
103.0,38591,12565,26026
104.0,14650,34180,-19530
105.0,14047,24028,-9981
106.0,15329,13157,2172
107.0,17620,12919,4701
108.0,11178,14535,-3357
109.0,15766,18753,-2987
110.0,12939,13699,-760
111.0,11486,13414,-1928
112.0,13968,13110,858
113.0,16096,16236,-140
114.0,19334,18486,848
115.0,14570,16947,-2377
116.0,11998,16052,-4054
117.0,13237,15305,-2068
118.0,16732,13104,3628
119.0,14096,12981,1115
120.0,15096,14531,565
121.0,18190,18047,143
122.0,17520,17434,86
123.0,17037,16989,48
124.0,16843,14016,2827
125.0,13744,14360,-616
126.0,12865,15507,-2642
127.0,14553,15227,-674
128.0,12585,14295,-1710
129.0,11653,13072,-1419
130.0,14400,12385,2015
131.0,10886,21327,-10441
132.0,23076,15366,7710
133.0,15178,14465,713
134.0,14573,15297,-724
135.0,14148,14645,-497
136.0,14033,16086,-2053
137.0,21180,17331,3849
138.0,21564,18938,2626
139.0,16180,17912,-1732
140.0,14155,17704,-3549
141.0,13226,16298,-3072
142.0,12612,13985,-1373
143.0,12646,13049,-403
144.0,14918,12236,2682
145.0,12257,14898,-2641
146.0,15591,13024,2567
147.0,13661,15239,-1578
148.0,13606,14469,-863
149.0,14591,16383,-1792
150.0,14123,14223,-100
151.0,17957,14283,3674
152.0,13393,16521,-3128
153.0,12503,16115,-3612
154.0,12734,11595,1139
155.0,12820,12159,661
156.0,12293,13295,-1002
157.0,14882,13499,1383
158.0,12611,13594,-983
159.0,14227,13669,558
160.0,13039,12719,320
161.0,12885,14045,-1160
162.0,11543,13671,-2128
163.0,13773,12547,1226
164.0,11440,12912,-1472
165.0,11593,13007,-1414
166.0,19226,10476,8750
167.0,17140,15257,1883
168.0,21727,18388,3339
169.0,15376,25227,-9851
170.0,23956,18016,5940
171.0,15133,19200,-4067
172.0,18864,15929,2935
173.0,16995,16476,519
174.0,19626,17369,2257
175.0,17155,16992,163
176.0,16336,18981,-2645
177.0,18681,18840,-159
178.0,16647,16116,531
179.0,20883,16866,4017
180.0,22551,18468,4083
181.0,21684,20414,1270
182.0,22706,29466,-6760
183.0,34832,24123,10709
184.0,25976,33342,-7366
185.0,37635,25944,11691
186.0,29693,27663,2030
187.0,25627,28468,-2841
188.0,25004,27899,-2895
189.0,26201,25637,564
190.0,27658,22998,4660
191.0,26079,29040,-2961
192.0,27789,30352,-2563
193.0,22642,26121,-3479
194.0,22686,24114,-1428
195.0,23812,834624,-810812
